6 Batain 6 Amal.mp3, 6 Batain 6 Amal.mp3, 27225, 116 mins 08 secs
Aaj_Ka_Islam_Faisalabad_22-11-1999.mp3, Aaj_Ka_Islam_Faisalabad_22-11-1999.mp3, 11089, 95 mins 02 secs
Aakhrat_Ke_Rahi_Kuwait_2000.mp3, Aakhrat_Ke_Rahi_Kuwait_2000.mp3, 12361, 70 mins 27 secs
Aakhri_Nabi_Ki_Aakhri_Ummat_Tandoadam_25-04-2011.mp3, Aakhri_Nabi_Ki_Aakhri_Ummat_Tandoadam_25-04-2011.mp3, 47311, 223 mins 58 secs
Aan_Hazat_Ki_Wasiat_Faisalabad_30-12-2005.mp3, Aan_Hazat_Ki_Wasiat_Faisalabad_30-12-2005.mp3, 86150, 91 mins 52 secs
Aisha_Masjid_25-03-2005.mp3, Aisha_Masjid_25-03-2005.mp3, 71090, 75 mins 49 secs
Alhamra_Lahore_28_11_2011.mp3, Alhamra_Lahore_28_11_2011.mp3, 8379, 47 mins 44 secs
Allah_Ka_Dar_Aur_Toba_02-12-2005.mp3, Allah_Ka_Dar_Aur_Toba_02-12-2005.mp3, 42334, 45 mins 08 secs
Allah_Ka_Ehsaan_Lahore_01-02-1997.mp3, Allah_Ka_Ehsaan_Lahore_01-02-1997.mp3, 8108, 65 mins 13 secs
Allah_Ka_Ilm_Aur_Insaan_Ka_Ilm_Faisalabad_14-05-2010.mp3, Allah_Ka_Ilm_Aur_Insaan_Ka_Ilm_Faisalabad_14-05-2010.mp3, 9635, 54 mins 54 secs
Allah_Kay_Baghi_Musalmaan_18-08-2006.mp3, Allah_Kay_Baghi_Musalmaan_18-08-2006.mp3, 69304, 73 mins 55 secs
Allah_Ke_Nabi_PBUH_MianChannu_20-08-2009.mp3, Allah_Ke_Nabi_PBUH_MianChannu_20-08-2009.mp3, 20919, 118 mins 59 secs
Allah_Ki_Itaat_Or_Muhammad_Ki_Ghulami_22-01-2009.mp3, Allah_Ki_Itaat_Or_Muhammad_Ki_Ghulami_22-01-2009.mp3, 4352, 24 mins 47 secs
Allah_Ki_Kainaat_MianChannu_21-08-2009.mp3, Allah_Ki_Kainaat_MianChannu_21-08-2009.mp3, 21539, 122 mins 46 secs
Allah_Ki_Nafarmani_Faisalabad_01-07-2009.mp3, Allah_Ki_Nafarmani_Faisalabad_01-07-2009.mp3, 16260, 92 mins 41 secs
Allah_Ki_Pehchan_Faisalabad_19-05-2006.mp3, Allah_Ki_Pehchan_Faisalabad_19-05-2006.mp3, 53947, 57 mins 32 secs
Allah_Kisi_Ka_Mohtaj_Nahi_Chicago_30-01-1998.mp3, Allah_Kisi_Ka_Mohtaj_Nahi_Chicago_30-01-1998.mp3, 16567, 142 mins 00 secs
Allah_Naraz_Hay_Tuba_Karlo_24-12-2005.mp3, Allah_Naraz_Hay_Tuba_Karlo_24-12-2005.mp3, 68250, 72 mins 47 secs
Banaras_Karachi_31-07-2011.mp3, Banaras_Karachi_31-07-2011.mp3, 18244, 103 mins 48 secs
Bayan_Attock_10-05-2010.mp3, Bayan_Attock_10-05-2010.mp3, 13251, 75 mins 31 secs
Bayan_Karachi_16-01-2017.mp3, Bayan_Karachi_16-01-2017.mp3, 18797, 40 mins 05 secs
Bayan_Lahore_20-08-2011.mp3, Bayan_Lahore_20-08-2011.mp3, 7726, 44 mins 02 secs
Be_Rozgari_Aur_Sood_07-06-2007.mp3, Be_Rozgari_Aur_Sood_07-06-2007.mp3, 42893, 45 mins 44 secs
Behayai_Ka_Selab_Faisalabad_23-02-2006.mp3, Behayai_Ka_Selab_Faisalabad_23-02-2006.mp3, 64153, 68 mins 25 secs
Blackburn_Markaz_23-06-2011.mp3, Blackburn_Markaz_23-06-2011.mp3, 13943, 79 mins 28 secs
Blackburn_Markaz_26-08-2006.mp3, Blackburn_Markaz_26-08-2006.mp3, 19661, 112 mins 04 secs
Buron_Ke_Sath_Husn-E-Sulook_Saudi_Arab_20-11-2010.mp3, Buron_Ke_Sath_Husn-E-Sulook_Saudi_Arab_20-11-2010.mp3, 16055, 91 mins 31 secs
Dard_E_Dil_Islamabad_15-06-2005.mp3, Dard_E_Dil_Islamabad_15-06-2005.mp3, 62482, 76 mins 08 secs
Deen_Kaise_Zinda_Hota_Hai_America_18-01-1998.mp3, Deen_Kaise_Zinda_Hota_Hai_America_18-01-1998.mp3, 10945, 93 mins 48 secs
Defence_Karachi_10-08-2011.mp3, Defence_Karachi_10-08-2011.mp3, 13630, 77 mins 41 secs
Dehli_Masjid_Karachi_16-01-2017.mp3, Dehli_Masjid_Karachi_16-01-2017.mp3, 35555, 75 mins 50 secs
Dewsbury_Markaz_30-06-2011.mp3, Dewsbury_Markaz_30-06-2011.mp3, 14445, 82 mins 20 secs
Dewsbury_Markaz_31-08-2006.mp3, Dewsbury_Markaz_31-08-2006.mp3, 25833, 147 mins 15 secs
Dil_Zinda_Hai_Ya_Murda_1987.mp3, Dil_Zinda_Hai_Ya_Murda_1987.mp3, 8222, 46 mins 51 secs
Dundee_Jamia_Masjid_28-08-2006.mp3, Dundee_Jamia_Masjid_28-08-2006.mp3, 19190, 109 mins 23 secs
Ghafil_Musalman_Faisalabad_01-07-2000.mp3, Ghafil_Musalman_Faisalabad_01-07-2000.mp3, 11250, 63 mins 40 secs
